VESSEL,SPN,BUOY,DATE_HAUL,MaleTanner,FemaleTanner,MaleSnow,FemaleSnow,MaleHybrid,FemaleHybrid,HairCrab,PacificCod,Halibut,GreatSculpin,YellowfinSole,Pollock,Starry Flounder,Other
134,1,X36,3/18/2024,,,,,,,,1,,,,,,
134,2,X51,3/18/2024,,,,,,,,,,,,,,Empty pot
134,3,227,3/18/2024,,,,,,,,5,,,1,,,
134,4,X67,3/18/2024,,,,,,,,8,,,2,,,
134,5,X39,3/18/2024,,,,,,,,6,,,,,,
134,6,741,3/18/2024,,,,,,,,10,,,4,,,
134,7,210,3/18/2024,,,,,,,,9,,,,,,sea star
134,8,209,3/18/2024,,,,,,,,11,,,,,,
134,9,X57,3/18/2024,,,,,,,,7,,,,,,
134,10,218,3/18/2024,,,,,,,,6,,,,,,sea star
134,11,608,3/18/2024,,,,,,,,7,,,,,,
134,12,X45,3/18/2024,2,,,,,,,5,,,,,,
134,13,A36,3/18/2024,3,,,,,,,5,,,6,,,sea star
134,14,213,3/18/2024,2,,,,,,,3,,,,,,
134,15,220,3/18/2024,,,1,,,,,3,,,3,,,
134,16,102,3/18/2024,1,,,,,,,4,,,4,,,
134,17,174,3/18/2024,1,,,,,,,4,,,7,,,
134,18,Y13,3/18/2024,7,,,,,,,4,,,3,,,
134,19,720,3/18/2024,27,,,,,,,2,,,1,,,pot moved by trawl
134,20,X56,3/18/2024,7,,,,,,,1,,,,,,
134,21,981,3/18/2024,8,,,,,,,4,,,1,,,
134,22,X59,3/18/2024,4,1,,,,,,7,,,,,,
134,23,43,3/18/2024,14,,,,,,,5,,,,,,
134,24,X24,3/19/2024,2,,,,,,,3,,,8,,,
134,25,225,3/19/2024,7,,,,,,,2,,,4,,,
134,26,X87,3/19/2024,2,,,,,,,3,,,4,,,
134,27,X48,3/19/2024,,,,,,,,6,,,1,,,Sea star
134,28,X21,3/19/2024,,,,,,,,1,,,4,,,1 GPO
134,29,501,3/19/2024,,,,,,,,4,,,,,,
134,30,Y10,3/19/2024,,,,,,,,4,,,,,,
134,31,X40,3/19/2024,,,,,,,,4,,,1,1,,
134,32,X92,3/19/2024,1,,,,,,,2,,,,,,1 GPO
134,33,402,3/19/2024,,,,,,,,5,,,1,,,
134,34,305,3/19/2024,4,,,,,,,5,,,,,,
134,35,A19,3/19/2024,2,,,,,,,10,,,2,,,Sea star
134,36,X75,3/19/2024,3,,,,,,,12,,,,,,Sea star
134,37,X61,3/19/2024,3,,,,,,,5,,,,,,Sea star
134,38,67,3/19/2024,9,,,,,,,2,,,,,,
134,39,937,3/19/2024,3,,,,,,,,,,,,,Sea star
134,40,Y17,3/19/2024,16,,,,,,,1,,,,,,Sea star
134,41,21,3/19/2024,9,,,,,,,,,,,,,
134,42,709,3/19/2024,4,,,,,,,1,,,2,,,Sea star
134,43,694,3/19/2024,,,,,,,,,,,2,,,Sea star
134,44,X73,3/19/2024,,,,,,,,,,,,,,Empty pot
134,45,X59,3/20/2024,,,,,,,,,,,,,,sea stars
134,46,43,3/20/2024,,,,,,,,2,,,,,,sea stars
134,47,D18,3/20/2024,8,,,,,,,2,,1,,,,sea stars
134,48,Y13,3/20/2024,9,,,,,,,3,,,,,,sea stars
134,49,174,3/20/2024,10,,,,,,,,,,,,,
134,50,102,3/20/2024,6,,,,,,,2,,,,,,
134,51,220,3/20/2024,21,,,,,,,6,,,,,,
134,52,213,3/20/2024,8,,,,,,,7,,,,,,
134,53,X57,3/20/2024,5,,,,,,,3,,1,,,,
134,54,210,3/20/2024,3,,1,,,,,9,,,,,,
134,55,X39,3/20/2024,1,,,,,,,7,,,,,,
134,56,X67,3/20/2024,,,,,,,,9,,,1,,,
134,57,981,3/20/2024,1,,,,,,,11,1,,3,,,
134,58,X56,3/20/2024,,,,,,,,2,,,5,,,
134,59,A38,3/20/2024,2,,,,,,,5,,,11,,,
134,60,X45,3/20/2024,,,,,,,,4,,,2,,,
134,61,608,3/20/2024,1,,,,,,,8,,,2,,,
134,62,218,3/20/2024,,,,,,,,5,,,3,,,
134,63,X73,3/21/2024,,,,,,,,8,,,11,,,
134,64,X61,3/21/2024,,,,,,,,8,,,2,,,
134,65,X75,3/21/2024,,,,,,,,8,,,1,,,
134,66,A19,3/21/2024,,,,,,,,2,,,1,,,
134,67,305,3/21/2024,1,,,,,,,6,,,1,,,
134,68,402,3/21/2024,1,,,,,,,5,,,8,,,
134,69,X21,3/21/2024,3,,,,,,,5,,,3,,,
134,70,X48,3/21/2024,,,,,,,,14,,,5,,,
134,71,X87,3/21/2024,1,,,,,,,10,,,3,,,
134,72,225,3/21/2024,,,,,,,,3,,,1,,,
134,73,D21,3/21/2024,,,,,,,,2,,,2,,,
134,74,Y17,3/21/2024,,,,,,,,2,,,,,,
134,75,947,3/21/2024,,,,,,,,2,,,,,,
134,76,67,3/21/2024,,,,,,,,,,,,,,
134,77,X24,3/21/2024,,,,,,,,2,,,,,,
134,78,209,3/21/2024,,,,,,,,4,,,,,,
134,79,741,3/21/2024,,,,,,,,5,,1,5,,,
134,80,227,3/21/2024,,,,,,,,2,,2,3,,,
134,81,X51,3/21/2024,,,,,,,,5,,,2,,,
134,82,X36,3/21/2024,,,,,,,,,,4,,,,
134,83,X92,3/21/2024,,,,,,,,,,,,,,
134,84,X40,3/21/2024,,,,,,,,,,1,,,,
134,85,218,,,,,,,,,,,,,,,
134,86,A38,,,,,,,,,,,,,,,
134,87,X45,,,,,,,,,,,,,,,
134,88,608,,,,,,,,,,,,,,,
134,89,X56,,,,,,,,,,,,,,,
134,90,981,,,,,,,,,,,,,,,
134,91,213,,,,,,,,,,,,,,,
134,92,220,,,,,,,,,,,,,,,
134,93,102,,,,,,,,,,,,,,,
134,94,174,,,,,,,,,,,,,,,
134,95,X67,,,,,,,,,,,,,,,
134,96,X39,,,,,,,,,,,,,,,
134,97,210,,,,,,,,,,,,,,,
134,98,X57,,,,,,,,,,,,,,,
134,99,501,,,,,,,,,,,,,,,
134,100,Y13,,,,,,,,,,,,,,,
134,101,18,,,,,,,,,,,,,,,
134,102,43,,,,,,,,,,,,,,,
134,103,X59,,,,,,,,,,,,,,,
134,104,A39,,,,,,,,,,,,,,,
