CRUISE,VESSEL,HAUL,STATION,SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,WEIGHT,DISEASE_CODE,DISEASE_DORSAL,DISEASE_VENTRAL,DISEASE_LEGS,SAMPLING_FACTOR,CHELA_HEIGHT,MERUS_LENGTH,COMMENTS,RECORDING_DEVICE,ID,NOTES
202301,162,17,"G-15",69322,2,41.0,,2,0,0,0,,,,,,1.40000,,,,"5fdbeff43a5bc3ff","5fdbeff43a5bc3ff_0000000010",
202301,162,17,"G-15",69322,2,36.0,,2,0,0,0,,,,,,1.40000,,,,"5fdbeff43a5bc3ff","5fdbeff43a5bc3ff_0000000009",
202301,162,17,"G-15",69322,2,45.0,,2,0,0,0,,,,,,1.40000,,,,"5fdbeff43a5bc3ff","5fdbeff43a5bc3ff_0000000008",
202301,162,17,"G-15",69322,2,90.0,,2,2,1,5,,,,,,1.40000,,,,"5fdbeff43a5bc3ff","5fdbeff43a5bc3ff_0000000007",
202301,162,17,"G-15",69322,2,82.0,,2,2,1,5,,,,,,1.40000,,,,"5fdbeff43a5bc3ff","5fdbeff43a5bc3ff_0000000006",
202301,162,17,"G-15",69322,1,36.0,,2,,,,,,,,,1.00000,,,,"5fdbeff43a5bc3ff","5fdbeff43a5bc3ff_0000000005",
202301,162,17,"G-15",69322,1,50.0,,2,,,,,,,,,1.00000,,,,"5fdbeff43a5bc3ff","5fdbeff43a5bc3ff_0000000004",
202301,162,17,"G-15",69322,1,136.0,,2,,,,,,,,,1.00000,,,,"5fdbeff43a5bc3ff","5fdbeff43a5bc3ff_0000000003",
202301,162,17,"G-15",68560,1,,40.0,2,,,,,,,,,1.00000,,,,"5fdbeff43a5bc3ff","5fdbeff43a5bc3ff_0000000002",
202301,162,17,"G-15",68560,1,,36.0,2,,,,,,,,,1.00000,,,,"5fdbeff43a5bc3ff","5fdbeff43a5bc3ff_0000000001",
